,count,mean,std,min,25%,50%,75%,max,variance,missing,missing_percent,zeros_percent
LRRC26,76893.0,0.012767753570298386,0.13458762995849538,-0.672689952352772,-1.12824402135933e-07,0.0,0.0006331814581297,2.94172688061151,0.018113830137844882,0,0.0,31.05
AIF1,76893.0,0.9292264175693612,1.3087257632949834,-1.08351476033854,0.0,0.140248519764551,1.71118437223633,5.50491746822277,1.712763123512037,0,0.0,9.53
LMNA,76893.0,0.06112237983348539,0.27540984288290066,-0.979546265949197,-0.0038249207703647,0.0,0.0201860627368677,3.80023929396632,0.07585058155678404,0,0.0,19.46
IDO1,76893.0,0.014153641079059143,0.09612471462550957,-0.62900401139935,0.0,0.0018056714640053,0.0101611757782149,3.18103687931315,0.009239960761835654,0,0.0,20.29
VCAN,76893.0,0.4950714076669143,1.0509608917775577,-0.776126337040085,0.0,0.0466241693087018,0.149662319496916,6.26718479463028,1.1045187960458793,0,0.0,13.42
TK1,76893.0,0.003989253968192499,0.061674326400231766,-1.27587357267737,-0.0006473253169938,0.0,0.0035861626869629,2.59487668879369,0.003803722536922325,0,0.0,24.3
ACRBP,76893.0,0.015444649985777869,0.10719972784028144,-1.18474571338178,0.0,0.0011954572153434,0.0111348072388231,3.82271405586471,0.011491781649030412,0,0.0,19.96
FTH1,76893.0,2.705245386954341,0.9568996401204735,-1.45976165603626,2.13486095489463,2.52834705897483,3.19406694956261,5.94630998791216,0.9156569212626916,0,0.0,0.28
SPARC,76893.0,0.004322751968465302,0.07805940485600653,-0.811866857388973,-0.000767199874048,0.0,0.000736502213265,2.93088268209945,0.006093270686473936,0,0.0,27.9
PPP1R14B,76893.0,0.32735233049622453,0.44392965452174543,-0.664216455371363,0.0268943843258271,0.213674912961522,0.43764840860941,4.6109982445604,0.19707353816379625,0,0.0,12.52
BIRC5,76893.0,0.0016214947036841995,0.040802894205471965,-0.333835854739079,-0.0004487179278699,0.0,0.0008765465184679,2.7050769650975,0.0016648761755429379,0,0.0,27.03
SOX4,76893.0,0.12031562489721125,0.324341536620762,-0.955251264706178,-0.0011275439347984,0.0144642134728192,0.0943623355866116,3.51421075508312,0.10519743237751708,0,0.0,16.2
CMTM5,76893.0,0.0011570785829533865,0.044714389748783036,-0.55313795341809,-0.0001636911562955,0.0,1.16986385528254e-05,2.96870099883342,0.0019993766506060735,0,0.0,36.75
G0S2,76893.0,0.006318851409208042,0.23671298211976038,-1.9092139135959,-0.0062727814346679,0.0,0.0016233104196825,4.15678997132574,0.05603303590403,0,0.0,23.27
IL3RA,76893.0,0.056603278233459974,0.23397853352119843,-0.716114340735722,0.0,0.0030993740488603,0.0210898920844554,3.3710543516283,0.05474595414873058,0,0.0,18.77
CST7,76893.0,0.48657772909995933,0.973745391641843,-1.02701971906105,-0.0028464345618377,0.0060125015526329,0.189816273858872,5.19074643702183,0.9481800877437262,0,0.0,16.53
CTSS,76893.0,1.448827567163941,1.4305574948326818,-0.961516924879848,0.233102562311541,1.03340160412526,2.25542004517512,5.86438848781407,2.0464947460219585,0,0.0,5.9
